Category,Proactive,Reactive,Total
Child Safety,"5,640","11,377","17,017"
Deceptive Practices,"1,006","5,595","6,601"
Exploitative and Unsolicited Content,"1,512","6,092","7,604"
Harassment and Bullying,258,"1,609","1,867"
Hateful Conduct,881,"1,891","2,772"
Identity and Authenticity,7,10,17
Platform Manipulation,"1,443","1,498","2,941"
Regulated or Illegal Activities,"4,345","3,756","8,101"
Self-Harm Concerns,6,406,412
Violent and Graphic Content,547,"2,116","2,663"
Violent Extremism,"1,041","1,141","2,182"
,,,
,,,
Total:,"16,686","35,491","52,177"
