Old Categories,New Category
CSAM; Exploitative Content,Child Safety
Cybercrime; Hacks and Cheats; Malware,Deceptive Practices
Exploitative Content; Graphic Content,Exploitative and Unsolicited Content
Doxxing; Harassment; Raiding,Harassment and Bullying
Harassment,Hateful Conduct
Cybercrime,Identity and Authenticity
Platform Abuse; Spam,Platform Manipulation
Cybercrime,Regulated or Illegal Activities
Self-Harm Concerns,Self-Harm Concerns
Extremist or Violent Content; Graphic Content,Violent and Graphic Content
Extremist or Violent Content,Violent Extremism
Other,Filtered into relevant categories
